Gene Species Taxon Signature
0 Coli_018894 Coli_018894 0.3434589791814244
0 Coli_018896 Coli_018896 0.3434589791814244
0 Coli_018890 Coli_018890 0.3434589791814244
0 Coli_018888 Coli_018888 0.3434589791814244
0 Coli_018887 Coli_018887 0.3434589791814244
0 Coli_018884 Coli_018884 0.3434589791814244
0 Coli_018898 Coli_018898 0.3434589791814244
0 Coli_018886 Coli_018886 0.3434589791814244
0 Coli_018897 Coli_018897 0.13333552034050106
0 Coli_018902 Coli_018902 0.11342317223624854
0 Coli_018920 Coli_018920 0.10362589697201297
0 Coli_018924 Coli_018924 0.012751992137700001
0 Coli_006966 Coli_006966 0.00880007357559186
0 Coli_018916 Coli_018916 0.012751992137700001
0 Coli_018900 Coli_018900 0.012751992137700001
0 Coli_018918 Coli_018918 0.01031618055158157
0 Coli_018922 Coli_018922 0.01031618055158157
0 Coli_018915 Coli_018915 0.008164785682302054
0 Coli_018905 Coli_018905 0.008164785682302054
0 Coli_006959 Coli_006959 0.00880007357559186
0 Coli_006962 Coli_006962 0.00880007357559186
0 Coli_006964 Coli_006964 0.00880007357559186
0 Coli_006965 Coli_006965 0.00880007357559186
0 Coli_006967 Coli_006967 0.00880007357559186
0 Coli_012828 Coli_012828 0.00793503259876923
0 Coli_006961 Coli_006961 0.00793503259876923
0 Coli_006960 Coli_006960 0.00793503259876923
0 Coli_001862 Coli_001862 0.003698118300770148
0 Coli_006968 Coli_006968 0.003698118300770148
0 Coli_001817 Coli_001817 0.003698118300770148
0 Coli_018921 Coli_018921 0.008164785682302054
0 Coli_018923 Coli_018923 0.008164785682302054
0 Coli_018931 Coli_018931 0.008164785682302054
0 Coli_018926 Coli_018926 0.008164785682302054
0 Coli_018903 Coli_018903 0.008164785682302054
0 Coli_018942 Coli_018942 0.007263018903307827
