Gene Species Taxon Signature
0 Coli_014437 Coli_014437 0.18933103087471695
0 Coli_016147 Coli_016147 2.227037927742
0 Coli_001137 Coli_001137 2.227037927742
0 Coli_008800 Coli_008800 2.227037927742
0 Coli_008799 Coli_008799 2.227037927742
0 Coli_010471 Coli_010471 2.227037927742
0 Coli_008796 Coli_008796 2.227037927742
0 Coli_011828 Coli_011828 2.227037927742
0 Coli_011829 Coli_011829 2.227037927742
0 Coli_000171 Coli_000171 0.014701983205758197
0 Coli_006970 Coli_006970 0.14733791550177425
0 Coli_007022 Coli_007022 0.012822011778729787
0 Coli_007005 Coli_007005 0.012822011778729787
0 Coli_006941 Coli_006941 0.012822011778729787
0 Coli_006971 Coli_006971 0.012822011778729787
0 Coli_007000 Coli_007000 0.012822011778729787
0 Coli_006969 Coli_006969 0.14733791550177425
0 Coli_009087 Coli_009087 0.14733791550177425
0 Coli_016403 Coli_016403 0.14733791550177425
0 Coli_009086 Coli_009086 0.14733791550177425
0 Coli_009085 Coli_009085 0.14733791550177425
0 Coli_006905 Coli_006905 0.14733791550177425
0 Coli_007020 Coli_007020 0.14733791550177425
0 Coli_015908 Coli_015908 0.14733791550177425
0 Coli_010441 Coli_010441 0.14733791550177425
0 Coli_010451 Coli_010451 0.14733791550177425
0 Coli_004872 Coli_004872 0.14733791550177425
0 Coli_016320 Coli_016320 0.022578332461761906
