Gene Species Taxon Signature
0 Coli_002391 Coli_002391 0.1489363682747906
0 Coli_018825 Coli_018825 0.1489363682747906
0 Coli_018843 Coli_018843 0.1489363682747906
0 Coli_018852 Coli_018852 0.1489363682747906
0 Coli_018837 Coli_018837 0.1489363682747906
0 Coli_005731 Coli_005731 0.031914773307924034
0 Coli_017410 Coli_017410 0.031914773307924034
0 Coli_017755 Coli_017755 0.029957798261457107
0 Coli_003782 Coli_003782 0.029957798261457107
0 Coli_009362 Coli_009362 0.01919252859465291
0 Coli_017594 Coli_017594 0.013679612831070234
0 Coli_010146 Coli_010146 0.013679612831070234
0 Coli_007953 Coli_007953 0.013679612831070234
0 Coli_004589 Coli_004589 0.013679612831070234
0 Coli_007955 Coli_007955 0.013679612831070234
0 Coli_001875 Coli_001875 0.004876543061450775
0 Coli_009854 Coli_009854 0.004876543061450775
0 Coli_013813 Coli_013813 0.0031443593750972816
0 Coli_019406 Coli_019406 0.0031443593750972816
0 Coli_003314 Coli_003314 0.004876543061450775
0 Coli_020278 Coli_020278 0.004876543061450775
0 Coli_008473 Coli_008473 0.004876543061450775
0 Coli_007470 Coli_007470 0.0031443593750972816
0 Coli_011420 Coli_011420 0.0031443593750972816
0 Coli_013504 Coli_013504 0.0031443593750972816
0 Coli_002206 Coli_002206 0.0031443593750972816
